"module_name","gate_counts","area_math","total_area","delay_math","total_delay","static_power_math","total_static_power"
"alu_flags","2 a2111oi_0, 2 a211oi_1, 1 a21o_1, 9 a21oi_1, 2 a221oi_1, 1 a22o_1, 3 a22oi_1, 1 a311o_1, 1 a31o_1, 5 a31oi_1, 1 and2_0, 1 and3_1, 12 clkinv_1, 7 maj3_1, 21 nand2_1, 7 nand2b_1, 5 nand3_1, 2 nand3b_1, 3 nand4_1, 1 nand4b_1, 2 nand4bb_1, 19 nor2_1, 11 nor2b_1, 3 nor3_1, 3 nor3b_1, 2 nor4_1, 1 nor4b_1, 1 nor4bb_1, 1 o2111ai_1, 6 o211ai_1, 1 o21a_1, 10 o21ai_0, 1 o221ai_1, 2 o22ai_1, 1 o311ai_0, 3 o31ai_1, 1 or2_0, 11 xnor2_1, 17 xor2_1","2*8.76 + 2*7.51 + 1*7.51 + 9*5.0 + 2*8.76 + 1*8.76 + 3*7.51 + 1*10.01 + 1*8.76 + 5*6.26 + 1*6.26 + 1*6.26 + 12*3.75 + 7*10.01 + 21*3.75 + 7*6.26 + 5*5.0 + 2*7.51 + 3*6.26 + 1*8.76 + 2*11.26 + 19*3.75 + 11*6.26 + 3*5.0 + 3*7.51 + 2*6.26 + 1*8.76 + 1*10.01 + 1*8.76 + 6*7.51 + 1*7.51 + 10*5.0 + 1*8.76 + 2*6.26 + 1*8.76 + 3*7.51 + 1*6.26 + 11*8.76 + 17*8.76",1148.54,"0.11 + 0.14 + 0.11 + 0.35 + 0.35 + 0.08 + 0.07 + 0.15 + 0.08 + 0.25 + 0.19 + 0.06 + 0.16",2.1,"2*0.42 + 2*0.98 + 1*5.9 + 9*1.65 + 2*1.78 + 1*4.06 + 3*2.58 + 1*1.57 + 1*2.37 + 5*1.48 + 1*1.92 + 1*5.59 + 12*1.57 + 7*2.09 + 21*2.12 + 7*2.25 + 5*1.03 + 2*1.4 + 3*0.53 + 1*1.03 + 2*1.9 + 19*1.97 + 11*2.18 + 3*0.93 + 3*1.3 + 2*0.5 + 1*0.91 + 1*3.2 + 1*0.58 + 6*0.7 + 1*2.21 + 10*1.04 + 1*1.09 + 2*1.31 + 1*0.64 + 3*1.7 + 1*1.26 + 11*2.07 + 17*4.28",362.71
"axis_keyer","15 a21oi_1, 1 a22o_1, 1 a2bb2oi_1, 1 a31o_1, 1 a31oi_1, 1 a32o_1, 22 and2_0, 4 and3_1, 11 clkinv_1, 1 conb_1, 24 dfxtp_1, 1 maj3_1, 16 nand2_1, 7 nand2b_1, 5 nand3_1, 1 nand3b_1, 1 nand4_1, 11 nor2_1, 1 nor2b_1, 4 nor3_1, 1 nor4_1, 1 o2111ai_1, 1 o211a_1, 2 o211ai_1, 10 o21ai_0, 4 o221ai_1, 3 o22ai_1, 1 o31ai_1, 1 o32a_1, 1 o32ai_1, 1 or2_0, 4 xnor2_1, 2 xor2_1","15*5.0 + 1*8.76 + 1*8.76 + 1*8.76 + 1*6.26 + 1*10.01 + 22*6.26 + 4*6.26 + 11*3.75 + 1*3.75 + 24*20.02 + 1*10.01 + 16*3.75 + 7*6.26 + 5*5.0 + 1*7.51 + 1*6.26 + 11*3.75 + 1*6.26 + 4*5.0 + 1*6.26 + 1*8.76 + 1*10.01 + 2*7.51 + 10*5.0 + 4*8.76 + 3*6.26 + 1*7.51 + 1*10.01 + 1*8.76 + 1*6.26 + 4*8.76 + 2*8.76",1254.87,"0.08 + 0.18 + 0.1 + 0.16 + 0.11 + 0.13 + 0.1",0.86,"15*1.65 + 1*4.06 + 1*3.38 + 1*2.37 + 1*1.48 + 1*2.3 + 22*1.92 + 4*5.59 + 11*1.57 + 1*3.24 + 24*8.44 + 1*2.09 + 16*2.12 + 7*2.25 + 5*1.03 + 1*1.4 + 1*0.53 + 11*1.97 + 1*2.18 + 4*0.93 + 1*0.5 + 1*0.58 + 1*10.66 + 2*0.7 + 10*1.04 + 4*1.09 + 3*1.31 + 1*1.7 + 1*1.66 + 1*1.09 + 1*1.26 + 4*2.07 + 2*4.28",466.8
"pwm_generator","2 a21oi_1, 1 a311oi_1, 2 a41oi_1, 1 and3_1, 5 dfxtp_1, 1 mux2i_1, 1 nand2b_1, 1 nor2_1, 1 nor3_1, 1 nor4_1, 2 o21a_1","2*5.0 + 1*8.76 + 2*8.76 + 1*6.26 + 5*20.02 + 1*10.01 + 1*6.26 + 1*3.75 + 1*5.0 + 1*6.26 + 2*7.51",188.94,"0.32 + 0.19 + 0.22",0.73,"2*1.65 + 1*0.97 + 2*1.36 + 1*5.59 + 5*8.44 + 1*5.89 + 1*2.25 + 1*1.97 + 1*0.93 + 1*0.5 + 2*2.21",70.74
"ripple_adder_shift_register","1 a22o_1, 1 a311oi_1, 2 and2_0, 4 dfxtp_1, 3 nor2b_1, 1 nor3b_1, 1 o211a_1, 1 o311ai_0, 2 or2_0, 1 xor2_1","1*8.76 + 1*8.76 + 2*6.26 + 4*20.02 + 3*6.26 + 1*7.51 + 1*10.01 + 1*8.76 + 2*6.26 + 1*8.76",176.46,"0.19 + 0.22 + 0.19",0.6,"1*4.06 + 1*0.97 + 2*1.92 + 4*8.44 + 3*2.18 + 1*1.3 + 1*10.66 + 1*0.64 + 2*1.26 + 1*4.28",68.57
"and_gate_with_inverter","1 nand2_1, 1 nor4b_1","1*3.75 + 1*8.76",12.51,"0.19",0.19,"1*2.12 + 1*0.91",3.03
"flt_fx_24p8","1 a211o_1, 4 a211oi_1, 1 a21boi_0, 3 a21o_1, 42 a21oi_1, 1 a22o_1, 4 a22oi_1, 1 a2bb2oi_1, 1 a311oi_1, 4 a31o_1, 7 a31oi_1, 1 a32o_1, 4 and2_0, 3 and3_1, 2 and4_1, 1 and4b_1, 4 clkinv_1, 11 mux2_1, 10 mux2i_1, 11 mux4_2, 64 nand2_1, 3 nand2b_1, 6 nand3_1, 1 nand3b_1, 3 nand4_1, 3 nand4b_1, 65 nor2_1, 5 nor2b_1, 8 nor3_1, 3 nor4_1, 1 nor4b_1, 17 o211ai_1, 1 o21a_1, 60 o21ai_0, 1 o21bai_1, 2 o221ai_1, 3 o22a_1, 4 o22ai_1, 1 o311ai_0, 1 o31a_1, 8 o31ai_1, 1 o41ai_1, 2 or2_0, 3 or3_1, 1 or4_1, 3 or4b_1, 24 xnor2_1, 16 xor2_1","1*8.76 + 4*7.51 + 1*7.51 + 3*7.51 + 42*5.0 + 1*8.76 + 4*7.51 + 1*8.76 + 1*8.76 + 4*8.76 + 7*6.26 + 1*10.01 + 4*6.26 + 3*6.26 + 2*8.76 + 1*10.01 + 4*3.75 + 11*11.26 + 10*10.01 + 11*22.52 + 64*3.75 + 3*6.26 + 6*5.0 + 1*7.51 + 3*6.26 + 3*8.76 + 65*3.75 + 5*6.26 + 8*5.0 + 3*6.26 + 1*8.76 + 17*7.51 + 1*7.51 + 60*5.0 + 1*7.51 + 2*8.76 + 3*8.76 + 4*6.26 + 1*8.76 + 1*8.76 + 8*7.51 + 1*8.76 + 2*6.26 + 3*6.26 + 1*7.51 + 3*10.01 + 24*8.76 + 16*8.76",2683.13,"0.11 + 1.31 + 0.19 + 0.22 + 0.23 + 0.17 + 0.46 + 0.27 + 0.1 + 0.44 + 0.2 + 0.59 + 0.53 + 0.55 + 0.45 + 0.18 + 0.15",6.15,"1*3.14 + 4*0.98 + 1*2.48 + 3*5.9 + 42*1.65 + 1*4.06 + 4*2.58 + 1*3.38 + 1*0.97 + 4*2.37 + 7*1.48 + 1*2.3 + 4*1.92 + 3*5.59 + 2*3.4 + 1*5.99 + 4*1.57 + 11*4.03 + 10*5.89 + 11*6.37 + 64*2.12 + 3*2.25 + 6*1.03 + 1*1.4 + 3*0.53 + 3*1.03 + 65*1.97 + 5*2.18 + 8*0.93 + 3*0.5 + 1*0.91 + 17*0.7 + 1*2.21 + 60*1.04 + 1*2.87 + 2*1.09 + 3*2.76 + 4*1.31 + 1*0.64 + 1*2.07 + 8*1.7 + 1*1.39 + 2*1.26 + 3*1.28 + 1*0.85 + 3*2.14 + 24*2.07 + 16*4.28",902.29
"vending_machine","4 a211oi_1, 16 a21oi_1, 1 a311oi_1, 2 a31oi_1, 3 and2_0, 1 and3b_1, 1 and4_1, 1 clkinv_1, 14 dfxtp_1, 2 maj3_1, 15 nand2_1, 3 nand2b_1, 3 nand3_1, 24 nor2_1, 2 nor2b_1, 9 nor3_1, 1 nor4_1, 1 nor4b_1, 2 o211ai_1, 5 o21a_1, 11 o21ai_0, 2 o22ai_1, 2 o311ai_0, 1 o31a_1, 1 o32a_1, 1 o32ai_1, 4 or3_1, 1 or4_1, 13 xnor2_1, 4 xor2_1","4*7.51 + 16*5.0 + 1*8.76 + 2*6.26 + 3*6.26 + 1*8.76 + 1*8.76 + 1*3.75 + 14*20.02 + 2*10.01 + 15*3.75 + 3*6.26 + 3*5.0 + 24*3.75 + 2*6.26 + 9*5.0 + 1*6.26 + 1*8.76 + 2*7.51 + 5*7.51 + 11*5.0 + 2*6.26 + 2*8.76 + 1*8.76 + 1*10.01 + 1*8.76 + 4*6.26 + 1*7.51 + 13*8.76 + 4*8.76",1070.85,"0.33 + 0.18 + 0.36 + 0.38 + 0.25 + 0.12 + 0.17 + 0.29 + 0.09",2.17,"4*0.98 + 16*1.65 + 1*0.97 + 2*1.48 + 3*1.92 + 1*7.06 + 1*3.4 + 1*1.57 + 14*8.44 + 2*2.09 + 15*2.12 + 3*2.25 + 3*1.03 + 24*1.97 + 2*2.18 + 9*0.93 + 1*0.5 + 1*0.91 + 2*0.7 + 5*2.21 + 11*1.04 + 2*1.31 + 2*0.64 + 1*2.07 + 1*1.66 + 1*1.09 + 4*1.28 + 1*0.85 + 13*2.07 + 4*4.28",360.05
"top_module","1 a211oi_1, 6 a21oi_1, 1 a221oi_1, 1 a311o_1, 1 and2_0, 1 clkinv_1, 2 nand2_1, 1 nand2b_1, 7 nor2_1, 3 nor3_1, 1 nor3b_1, 2 o21ai_0, 1 o22ai_1, 2 o31ai_1, 1 o41ai_1, 1 xnor2_1, 3 xor2_1","1*7.51 + 6*5.0 + 1*8.76 + 1*10.01 + 1*6.26 + 1*3.75 + 2*3.75 + 1*6.26 + 7*3.75 + 3*5.0 + 1*7.51 + 2*5.0 + 1*6.26 + 2*7.51 + 1*8.76 + 1*8.76 + 3*8.76",203.89,"0.18 + 0.26 + 0.13 + 0.32 + 0.08",0.97,"1*0.98 + 6*1.65 + 1*1.78 + 1*1.57 + 1*1.92 + 1*1.57 + 2*2.12 + 1*2.25 + 7*1.97 + 3*0.93 + 1*1.3 + 2*1.04 + 1*1.31 + 2*1.7 + 1*1.39 + 1*2.07 + 3*4.28",65.18
"my_xor3","1 xor3_1","1*23.77",23.77,"0.33",0.33,"1*15.22",15.22
"KEYBOARD","1 a21bo_1, 1 a21boi_0, 1 a21o_1, 4 a21oi_1, 1 a221oi_1, 1 a2bb2oi_1, 1 a31oi_1, 4 and2_0, 1 and3_1, 4 clkinv_1, 4 dfrtn_1, 8 dfrtp_1, 1 dfstp_2, 1 mux2_1, 1 mux2i_1, 3 nand2_1, 2 nand2b_1, 2 nand3_1, 1 nand4_1, 6 nor2_1, 4 nor2b_1, 4 nor3_1, 1 nor3b_1, 1 o21ba_1, 1 o22a_1, 1 or2_0, 2 xnor2_1","1*10.01 + 1*7.51 + 1*7.51 + 4*5.0 + 1*8.76 + 1*8.76 + 1*6.26 + 4*6.26 + 1*6.26 + 4*3.75 + 4*25.02 + 8*25.02 + 1*26.28 + 1*11.26 + 1*10.01 + 3*3.75 + 2*6.26 + 2*5.0 + 1*6.26 + 6*3.75 + 4*6.26 + 4*5.0 + 1*7.51 + 1*10.01 + 1*8.76 + 1*6.26 + 2*8.76",620.53,"0.36 + 0.15 + 0.21 + 0.15",0.87,"1*7.27 + 1*2.48 + 1*5.9 + 4*1.65 + 1*1.78 + 1*3.38 + 1*1.48 + 4*1.92 + 1*5.59 + 4*1.57 + 4*11.65 + 8*11.65 + 1*10.52 + 1*4.03 + 1*5.89 + 3*2.12 + 2*2.25 + 2*1.03 + 1*0.53 + 6*1.97 + 4*2.18 + 4*0.93 + 1*1.3 + 1*7.27 + 1*2.76 + 1*1.26 + 2*2.07",263.12
"SDP_Y_IDX_mgc_in_wire_wait_v1","22 a2111o_1, 125 a2111oi_0, 65 a211o_1, 262 a211oi_1, 6 a21bo_1, 109 a21boi_0, 236 a21o_1, 6250 a21oi_1, 70 a221o_1, 349 a221oi_1, 169 a222oi_1, 703 a22o_1, 439 a22oi_1, 1 a2bb2o_1, 96 a2bb2oi_1, 16 a311o_1, 69 a311oi_1, 50 a31o_1, 972 a31oi_1, 316 a32o_1, 173 a32oi_1, 15 a41o_1, 66 a41oi_1, 612 and2_0, 355 and3_1, 2 and3b_1, 39 and4_1, 6 and4b_1, 747 clkinv_1, 2 conb_1, 7005 dfrtp_1, 194 maj3_1, 1181 mux2_1, 2661 mux2i_1, 184 mux4_2, 12575 nand2_1, 507 nand2b_1, 1289 nand3_1, 38 nand3b_1, 448 nand4_1, 34 nand4b_1, 5 nand4bb_1, 8756 nor2_1, 310 nor2b_1, 1052 nor3_1, 39 nor3b_1, 877 nor4_1, 19 nor4b_1, 7 nor4bb_1, 7 o2111a_1, 57 o2111ai_1, 30 o211a_1, 463 o211ai_1, 221 o21a_1, 6948 o21ai_0, 13 o21ba_1, 92 o21bai_1, 8 o221a_1, 188 o221ai_1, 153 o22a_1, 560 o22ai_1, 1 o2bb2a_1, 67 o2bb2ai_1, 28 o311a_1, 90 o311ai_0, 47 o31a_1, 364 o31ai_1, 71 o32a_1, 55 o32ai_1, 50 o41ai_1, 372 or2_0, 285 or3_1, 2 or3b_1, 71 or4_1, 8 or4b_1, 989 xnor2_1, 609 xor2_1","22*11.26 + 125*8.76 + 65*8.76 + 262*7.51 + 6*10.01 + 109*7.51 + 236*7.51 + 6250*5.0 + 70*10.01 + 349*8.76 + 169*10.01 + 703*8.76 + 439*7.51 + 1*10.01 + 96*8.76 + 16*10.01 + 69*8.76 + 50*8.76 + 972*6.26 + 316*10.01 + 173*8.76 + 15*10.01 + 66*8.76 + 612*6.26 + 355*6.26 + 2*8.76 + 39*8.76 + 6*10.01 + 747*3.75 + 2*3.75 + 7005*25.02 + 194*10.01 + 1181*11.26 + 2661*10.01 + 184*22.52 + 12575*3.75 + 507*6.26 + 1289*5.0 + 38*7.51 + 448*6.26 + 34*8.76 + 5*11.26 + 8756*3.75 + 310*6.26 + 1052*5.0 + 39*7.51 + 877*6.26 + 19*8.76 + 7*10.01 + 7*11.26 + 57*8.76 + 30*10.01 + 463*7.51 + 221*7.51 + 6948*5.0 + 13*10.01 + 92*7.51 + 8*11.26 + 188*8.76 + 153*8.76 + 560*6.26 + 1*10.01 + 67*8.76 + 28*10.01 + 90*8.76 + 47*8.76 + 364*7.51 + 71*10.01 + 55*8.76 + 50*8.76 + 372*6.26 + 285*6.26 + 2*8.76 + 71*7.51 + 8*10.01 + 989*8.76 + 609*8.76",476414.42,"0.3 + 0.06 + 0.19 + 0.09 + 0.19 + 2.41 + 5.95 + 28.2 + 4.16",41.55,"22*1.68 + 125*0.42 + 65*3.14 + 262*0.98 + 6*7.27 + 109*2.48 + 236*5.9 + 6250*1.65 + 70*2.66 + 349*1.78 + 169*2.43 + 703*4.06 + 439*2.58 + 1*5.07 + 96*3.38 + 16*1.57 + 69*0.97 + 50*2.37 + 972*1.48 + 316*2.3 + 173*1.25 + 15*6.61 + 66*1.36 + 612*1.92 + 355*5.59 + 2*7.06 + 39*3.4 + 6*5.99 + 747*1.57 + 2*3.24 + 7005*11.65 + 194*2.09 + 1181*4.03 + 2661*5.89 + 184*6.37 + 12575*2.12 + 507*2.25 + 1289*1.03 + 38*1.4 + 448*0.53 + 34*1.03 + 5*1.9 + 8756*1.97 + 310*2.18 + 1052*0.93 + 39*1.3 + 877*0.5 + 19*0.91 + 7*3.2 + 7*3.75 + 57*0.58 + 30*10.66 + 463*0.7 + 221*2.21 + 6948*1.04 + 13*7.27 + 92*2.87 + 8*2.73 + 188*1.09 + 153*2.76 + 560*1.31 + 1*3.41 + 67*1.85 + 28*3.77 + 90*0.64 + 47*2.07 + 364*1.7 + 71*1.66 + 55*1.09 + 50*1.39 + 372*1.26 + 285*1.28 + 2*2.59 + 71*0.85 + 8*2.14 + 989*2.07 + 609*4.28",194902.12
"top_module","1 a21oi_1, 4 buf_1, 4 dfxtp_1, 3 mux2i_1, 1 nand2_1, 1 nand3b_1, 3 nor2_1, 4 nor2b_1","1*5.0 + 4*3.75 + 4*20.02 + 3*10.01 + 1*3.75 + 1*7.51 + 3*3.75 + 4*6.26",177.66,"0.32 + 0.07 + 0.1",0.49,"1*1.65 + 4*1.18 + 4*8.44 + 3*5.89 + 1*2.12 + 1*1.4 + 3*1.97 + 4*2.18",75.95
"mux_2x1","20 and2_0","20*6.26",125.2,"0.1",0.1,"20*1.92",38.4
"sky130_fd_sc_ms__fa","1 maj3_1, 1 xor3_1","1*10.01 + 1*23.77",33.78,"0.33",0.33,"1*2.09 + 1*15.22",17.31
"led_controller","1 a211oi_1, 2 a21oi_1, 2 and2_0, 1 and3_1, 3 and4_1, 1 conb_1, 10 dfxtp_1, 1 nand2_1, 2 nand2b_1, 3 nand3_1, 2 nand4_1, 8 nor2_1, 1 nor2b_1, 5 nor3_1, 1 nor4_1, 1 nor4b_1, 1 o211ai_1, 1 o21ai_0, 1 o21bai_1, 1 xnor2_1, 1 xor2_1","1*7.51 + 2*5.0 + 2*6.26 + 1*6.26 + 3*8.76 + 1*3.75 + 10*20.02 + 1*3.75 + 2*6.26 + 3*5.0 + 2*6.26 + 8*3.75 + 1*6.26 + 5*5.0 + 1*6.26 + 1*8.76 + 1*7.51 + 1*5.0 + 1*7.51 + 1*8.76 + 1*8.76",424.13,"0.3 + 0.32 + 0.26 + 0.06 + 0.17",1.11,"1*0.98 + 2*1.65 + 2*1.92 + 1*5.59 + 3*3.4 + 1*3.24 + 10*8.44 + 1*2.12 + 2*2.25 + 3*1.03 + 2*0.53 + 8*1.97 + 1*2.18 + 5*0.93 + 1*0.5 + 1*0.91 + 1*0.7 + 1*1.04 + 1*2.87 + 1*2.07 + 1*4.28",157.28
"shift_register","9 dfxtp_1, 9 mux2i_1, 9 nor2_1","9*20.02 + 9*10.01 + 9*3.75",304.02,"0.28 + 0.12 + 0.04",0.44,"9*8.44 + 9*5.89 + 9*1.97",146.7
"add_sub_module","2 a21o_1, 3 a21oi_1, 1 a221o_1, 1 a311o_1, 1 a311oi_1, 3 a31oi_1, 1 a41oi_1, 6 and2_0, 1 and3_1, 5 clkinv_1, 12 maj3_1, 1 mux2_1, 21 nand2_1, 3 nand2b_1, 5 nor2_1, 2 o211ai_1, 5 o21ai_0, 2 o311ai_0, 8 or2_0, 45 xnor2_1, 40 xor2_1","2*7.51 + 3*5.0 + 1*10.01 + 1*10.01 + 1*8.76 + 3*6.26 + 1*8.76 + 6*6.26 + 1*6.26 + 5*3.75 + 12*10.01 + 1*11.26 + 21*3.75 + 3*6.26 + 5*3.75 + 2*7.51 + 5*5.0 + 2*8.76 + 8*6.26 + 45*8.76 + 40*8.76",1248.79,"0.32 + 0.36 + 0.37 + 0.37 + 0.37 + 0.37 + 0.37 + 0.38 + 0.35 + 0.3 + 0.15 + 0.25 + 0.15 + 0.2 + 0.17 + 0.4 + 0.22 + 0.16 + 0.37 + 0.37 + 0.37 + 0.37 + 0.35 + 0.11",7.2,"2*5.9 + 3*1.65 + 1*2.66 + 1*1.57 + 1*0.97 + 3*1.48 + 1*1.36 + 6*1.92 + 1*5.59 + 5*1.57 + 12*2.09 + 1*4.03 + 21*2.12 + 3*2.25 + 5*1.97 + 2*0.7 + 5*1.04 + 2*0.64 + 8*1.26 + 45*2.07 + 40*4.28",425.25
"spi_state_machine","1 a211oi_1, 1 a21bo_1, 1 a21boi_0, 3 a21oi_1, 1 a311o_1, 1 a311oi_1, 2 a31oi_1, 7 a32oi_1, 1 a41oi_1, 1 and2_0, 1 and3_1, 1 clkinv_1, 15 dfxtp_1, 1 mux2i_1, 2 nand2b_1, 1 nand3b_1, 1 nand4b_1, 10 nor2_1, 2 nor2b_1, 1 nor3b_1, 1 nor4_1, 1 nor4b_1, 1 nor4bb_1, 1 o31ai_1, 1 o41ai_1","1*7.51 + 1*10.01 + 1*7.51 + 3*5.0 + 1*10.01 + 1*8.76 + 2*6.26 + 7*8.76 + 1*8.76 + 1*6.26 + 1*6.26 + 1*3.75 + 15*20.02 + 1*10.01 + 2*6.26 + 1*7.51 + 1*8.76 + 10*3.75 + 2*6.26 + 1*7.51 + 1*6.26 + 1*8.76 + 1*10.01 + 1*7.51 + 1*8.76",595.6,"0.4 + 0.71 + 0.17 + 0.27",1.55,"1*0.98 + 1*7.27 + 1*2.48 + 3*1.65 + 1*1.57 + 1*0.97 + 2*1.48 + 7*1.25 + 1*1.36 + 1*1.92 + 1*5.59 + 1*1.57 + 15*8.44 + 1*5.89 + 2*2.25 + 1*1.4 + 1*1.03 + 10*1.97 + 2*2.18 + 1*1.3 + 1*0.5 + 1*0.91 + 1*3.2 + 1*1.7 + 1*1.39",212.85
"shift_register","1 a21o_1, 15 a221o_1, 8 and2_0, 16 dfxtp_1, 1 nor2_1, 1 nor2b_1","1*7.51 + 15*10.01 + 8*6.26 + 16*20.02 + 1*3.75 + 1*6.26",538.07,"0.55 + 0.24",0.79,"1*5.9 + 15*2.66 + 8*1.92 + 16*8.44 + 1*1.97 + 1*2.18",200.35
"dff_async_set_clear","1 a21o_1, 2 clkinv_1, 1 dfxtp_1","1*7.51 + 2*3.75 + 1*20.02",35.03,"0.29 + 0.03",0.32,"1*5.9 + 2*1.57 + 1*8.44",17.48
"m_4bit_comparator","1 nor4_1, 4 xor2_1","1*6.26 + 4*8.76",41.3,"0.13 + 0.18",0.31,"1*0.5 + 4*4.28",17.62
"sky130_fd_sc_ls__o21a","1 and4_1","1*8.76",8.76,"0.15",0.15,"1*3.4",3.4
"multiplier_8bit","2 a211oi_1, 3 a21boi_0, 1 a21o_1, 20 a21oi_1, 4 a22o_1, 4 a22oi_1, 1 a31o_1, 2 a31oi_1, 1 a32o_1, 21 and2_0, 3 and3_1, 11 clkinv_1, 40 maj3_1, 72 nand2_1, 12 nand2b_1, 8 nand3_1, 3 nand4_1, 27 nor2_1, 16 nor2b_1, 5 nor3_1, 1 nor3b_1, 1 o211ai_1, 4 o21a_1, 26 o21ai_0, 1 o21ba_1, 2 o21bai_1, 1 o221ai_1, 4 o22ai_1, 1 o31a_1, 1 o31ai_1, 1 o32ai_1, 2 or2_0, 2 or3_1, 68 xnor2_1, 14 xnor3_1, 44 xor2_1, 15 xor3_1","2*7.51 + 3*7.51 + 1*7.51 + 20*5.0 + 4*8.76 + 4*7.51 + 1*8.76 + 2*6.26 + 1*10.01 + 21*6.26 + 3*6.26 + 11*3.75 + 40*10.01 + 72*3.75 + 12*6.26 + 8*5.0 + 3*6.26 + 27*3.75 + 16*6.26 + 5*5.0 + 1*7.51 + 1*7.51 + 4*7.51 + 26*5.0 + 1*10.01 + 2*7.51 + 1*8.76 + 4*6.26 + 1*8.76 + 1*7.51 + 1*8.76 + 2*6.26 + 2*6.26 + 68*8.76 + 14*22.52 + 44*8.76 + 15*23.77",3400.54,"0.37 + 0.11 + 0.54 + 0.63 + 0.25 + 0.26 + 0.17 + 0.22 + 0.21 + 0.22 + 0.12 + 0.26 + 0.12 + 0.2 + 0.2",3.88,"2*0.98 + 3*2.48 + 1*5.9 + 20*1.65 + 4*4.06 + 4*2.58 + 1*2.37 + 2*1.48 + 1*2.3 + 21*1.92 + 3*5.59 + 11*1.57 + 40*2.09 + 72*2.12 + 12*2.25 + 8*1.03 + 3*0.53 + 27*1.97 + 16*2.18 + 5*0.93 + 1*1.3 + 1*0.7 + 4*2.21 + 26*1.04 + 1*7.27 + 2*2.87 + 1*1.09 + 4*1.31 + 1*2.07 + 1*1.7 + 1*1.09 + 2*1.26 + 2*1.28 + 68*2.07 + 14*15.62 + 44*4.28 + 15*15.22",1365.86
"binary_counter","1 a21oi_1, 5 clkinv_1, 4 dfrtp_1, 1 nand3_1, 1 nor2b_1, 1 xnor2_1, 1 xor2_1","1*5.0 + 5*3.75 + 4*25.02 + 1*5.0 + 1*6.26 + 1*8.76 + 1*8.76",152.61,"0.36 + 0.11 + 0.14",0.61,"1*1.65 + 5*1.57 + 4*11.65 + 1*1.03 + 1*2.18 + 1*2.07 + 1*4.28",65.66
"top_module","3 and2_0, 1 and3_1, 4 dfxtp_1, 1 nand2_1, 1 nand3_1, 1 nor2_1, 2 nor3_1, 1 nor3b_1","3*6.26 + 1*6.26 + 4*20.02 + 1*3.75 + 1*5.0 + 1*3.75 + 2*5.0 + 1*7.51",135.13,"0.28 + 0.13",0.41,"3*1.92 + 1*5.59 + 4*8.44 + 1*2.12 + 1*1.03 + 1*1.97 + 2*0.93 + 1*1.3",53.39
"sky130_fd_sc_hdll__o211ai","1 o211ai_1","1*7.51",7.51,"0.11",0.11,"1*0.7",0.7
"EHR_4","1 a31oi_1, 2 clkinv_1, 1 dfxtp_1, 1 mux2_1, 2 nand2_1, 1 nand2b_1, 1 o211ai_1, 1 o21a_1, 1 o21ai_0","1*6.26 + 2*3.75 + 1*20.02 + 1*11.26 + 2*3.75 + 1*6.26 + 1*7.51 + 1*7.51 + 1*5.0",78.82,"0.27 + 0.28 + 0.19 + 0.1",0.84,"1*1.48 + 2*1.57 + 1*8.44 + 1*4.03 + 2*2.12 + 1*2.25 + 1*0.7 + 1*2.21 + 1*1.04",27.53
"shift_register","1 a211o_1, 7 a21oi_1, 1 a221o_1, 2 a221oi_1, 1 a22o_1, 3 clkinv_1, 8 dfxtp_1, 6 mux2_1, 4 mux2i_1, 2 nand2_1, 2 nor2_1, 4 nor2b_1, 2 o21ai_0, 1 o31ai_1, 1 or2_0","1*8.76 + 7*5.0 + 1*10.01 + 2*8.76 + 1*8.76 + 3*3.75 + 8*20.02 + 6*11.26 + 4*10.01 + 2*3.75 + 2*3.75 + 4*6.26 + 2*5.0 + 1*7.51 + 1*6.26",422.87,"0.28 + 0.29 + 0.19 + 0.25 + 0.05",1.06,"1*3.14 + 7*1.65 + 1*2.66 + 2*1.78 + 1*4.06 + 3*1.57 + 8*8.44 + 6*4.03 + 4*5.89 + 2*2.12 + 2*1.97 + 4*2.18 + 2*1.04 + 1*1.7 + 1*1.26",166.88
"my_nand_gate","1 nand4_1","1*6.26",6.26,"0.05",0.05,"1*0.53",0.53
"xnor4","4 xnor2_1","4*8.76",35.04,"0.08",0.08,"4*2.07",8.28
"CARRY4","1 a211o_1, 1 a21oi_1, 1 a22o_1, 1 a41oi_1, 1 clkinv_1, 1 conb_1, 1 nand2_1, 1 o211ai_1, 1 o21ai_0, 1 o31ai_1, 2 xnor2_1, 1 xnor3_1, 4 xor2_1","1*8.76 + 1*5.0 + 1*8.76 + 1*8.76 + 1*3.75 + 1*3.75 + 1*3.75 + 1*7.51 + 1*5.0 + 1*7.51 + 2*8.76 + 1*22.52 + 4*8.76",137.63,"0.14 + 0.26 + 0.41",0.81,"1*3.14 + 1*1.65 + 1*4.06 + 1*1.36 + 1*1.57 + 1*3.24 + 1*2.12 + 1*0.7 + 1*1.04 + 1*1.7 + 2*2.07 + 1*15.62 + 4*4.28",57.46
